Index,Name,pvalue
23,R.Accumbens.Area,0.001
30,L.Accumbens.Area,0.001
31,R.Amygdala,0.23
32,L.Amygdala,0.195
36,R.Caudate,0.571
37,L.Caudate,0.178
38,R.Cerebellum.Exterior,0.037
39,L.Cerebellum.Exterior,0.029
47,R.Hippocampus,0.605
48,L.Hippocampus,0.767
55,R.Pallidum,0.004
56,L.Pallidum,0.057
57,R.Putamen,0.001
58,L.Putamen,0.001
59,R.Thalamus.Proper,0.001
60,L.Thalamus.Proper,0.001
71,Cerebellar.Vermal.Lobules.I.V,0.001
72,Cerebellar.Vermal.Lobules.VI.VII,0.001
73,Cerebellar.Vermal.Lobules.VIII.X,0.001
75,L.Basal.Forebrain,0.029
76,R.Basal.Forebrain,0.001
100,R.ACgG..anterior.cingulate.gyrus,0.04
101,L.ACgG..anterior.cingulate.gyrus,0.001
102,R.AIns..anterior.insula,0.001
103,L.AIns..anterior.insula,0.001
104,R.AOrG..anterior.orbital.gyrus,0.001
105,L.AOrG..anterior.orbital.gyrus,0.001
106,R.AnG...angular.gyrus,0.001
107,L.AnG...angular.gyrus,0.001
108,R.Calc..calcarine,0.001
109,L.Calc..calcarine,0.025
112,R.CO....central.operculum,0.001
113,L.CO....central.operculum,0.001
114,R.Cun...cuneus,0.001
115,L.Cun...cuneus,0.001
116,R.Ent...entorhinal.area,0.073
117,L.Ent...entorhinal.area,0.001
118,R.FO....frontal.operculum,0.001
119,L.FO....frontal.operculum,0.001
120,R.FRP...frontal.pole,0.001
121,L.FRP...frontal.pole,0.001
122,R.FuG...fusiform.gyrus,0.001
123,L.FuG...fusiform.gyrus,0.001
124,R.GRe...gyrus.rectus,0.011
125,L.GRe...gyrus.rectus,0.001
128,R.IOG...inferior.occipital.gyrus,0.001
129,L.IOG...inferior.occipital.gyrus,0.001
132,R.ITG...inferior.temporal.gyrus,0.272
133,L.ITG...inferior.temporal.gyrus,0.001
134,R.LiG...lingual.gyrus,0.001
135,L.LiG...lingual.gyrus,0.001
136,R.LOrG..lateral.orbital.gyrus,0.528
137,L.LOrG..lateral.orbital.gyrus,0.001
138,R.MCgG..middle.cingulate.gyrus,0.177
139,L.MCgG..middle.cingulate.gyrus,0.001
140,R.MFC...medial.frontal,0.001
141,L.MFC...medial.frontal,0.001
142,R.MFG...middle.frontal.gyrus,0.001
143,L.MFG...middle.frontal.gyrus,0.001
144,R.MOG...middle.occipital.gyrus,0.088
145,L.MOG...middle.occipital.gyrus,0.007
146,R.MOrG..medial.orbital.gyrus,0.001
147,L.MOrG..medial.orbital.gyrus,0.001
148,R.MPoG..postcentral.gyrus.medial.segment,0.001
149,L.MPoG..postcentral.gyrus.medial.segment,0.001
150,R.MPrG..precentral.gyrus.medial.segment,0.001
151,L.MPrG..precentral.gyrus.medial.segment,0.001
152,R.MSFG..superior.frontal.gyrus.medial.segment,0.001
153,L.MSFG..superior.frontal.gyrus.medial.segment,0.001
154,R.MTG...middle.temporal.gyrus,0.001
155,L.MTG...middle.temporal.gyrus,0.001
156,R.OCP...occipital.pole,0.001
157,L.OCP...occipital.pole,0.001
160,R.OFuG..occipital.fusiform.gyrus,0.001
161,L.OFuG..occipital.fusiform.gyrus,0.001
162,R.OpIFG.opercular.part.of.the.inferior.frontal.gyrus,0.001
163,L.OpIFG.opercular.part.of.the.inferior.frontal.gyrus,0.001
164,R.OrIFG.orbital.part.of.the.inferior.frontal.gyrus,0.284
165,L.OrIFG.orbital.part.of.the.inferior.frontal.gyrus,0.001
166,R.PCgG..posterior.cingulate.gyrus,0.001
167,L.PCgG..posterior.cingulate.gyrus,0.001
168,R.PCu...precuneus,0.001
169,L.PCu...precuneus,0.001
170,R.PHG...parahippocampal.gyrus,0.001
171,L.PHG...parahippocampal.gyrus,0.001
172,R.PIns..posterior.insula,0.001
173,L.PIns..posterior.insula,0.001
174,R.PO....parietal.operculum,0.001
175,L.PO....parietal.operculum,0.045
176,R.PoG...postcentral.gyrus,0.084
177,L.PoG...postcentral.gyrus,0.001
178,R.POrG..posterior.orbital.gyrus,0.001
179,L.POrG..posterior.orbital.gyrus,0.001
180,R.PP....planum.polare,0.001
181,L.PP....planum.polare,0.001
182,R.PrG...precentral.gyrus,0.001
183,L.PrG...precentral.gyrus,0.001
184,R.PT....planum.temporale,0.001
185,L.PT....planum.temporale,0.727
186,R.SCA...subcallosal.area,0.001
187,L.SCA...subcallosal.area,0.001
190,R.SFG...superior.frontal.gyrus,0.001
191,L.SFG...superior.frontal.gyrus,0.001
192,R.SMC...supplementary.motor,0.001
193,L.SMC...supplementary.motor,0.098
194,R.SMG...supramarginal.gyrus,0.001
195,L.SMG...supramarginal.gyrus,0.001
196,R.SOG...superior.occipital.gyrus,0.001
197,L.SOG...superior.occipital.gyrus,0.554
198,R.SPL...superior.parietal.lobule,0.001
199,L.SPL...superior.parietal.lobule,0.001
200,R.STG...superior.temporal.gyrus,0.001
201,L.STG...superior.temporal.gyrus,0.001
202,R.TMP...temporal.pole,0.001
203,L.TMP...temporal.pole,0.001
204,R.TrIFG.triangular.part.of.the.inferior.frontal.gyrus,0.008
205,L.TrIFG.triangular.part.of.the.inferior.frontal.gyrus,0.001
206,R.TTG...transverse.temporal.gyrus,0.001
207,L.TTG...transverse.temporal.gyrus,0.993
